Categoria,Propriedade,Valor,Notas
# ============================================================
# IDENTIDADE DA MARCA
# ============================================================
Marca,Nome,pulse,Sempre minusculo
Marca,Slogan,Produtividade Intencional,
Marca,Tom,Minimalista premium calmo e funcional,Nao gamificado nem infantil
Marca,Publico,Adultos brasileiros 25-45 anos,Profissionais e empreendedores
Marca,Idioma,Portugues brasileiro,
# ============================================================
# PALETA DE CORES
# ============================================================
Cor Primaria,Pulse Blue,#4A9FFF,Cor principal CTAs destaque
Cor Primaria,Blue Light,#6BB5FF,Hover e gradientes
Cor Primaria,Deep Navy,#1A1A2E,Textos e backgrounds escuros
Cor Primaria,Ghost White,#F5F7FA,Background claro superficies
Cor Primaria,Slate Gray,#718096,Texto secundario muted
Cor Primaria,White,#FFFFFF,Cards e superficies claras
Cor Primaria,Dark Base,#0F1419,Base do gradiente hero
Cor Semantica,Sucesso,#10b981,Estados positivos
Cor Semantica,Sucesso Dark,#059669,Gradiente sucesso
Cor Semantica,Erro,#dc2626,Estados de erro
Cor Semantica,Alerta,#eab308,Avisos
Cor Semantica,Info,#4A9FFF,Informativo (usa Pulse Blue)
Cor Semantica,Vermelho (Prioridade Alta),#ef4444,Badge prioridade
Cor Semantica,Amarelo (Prioridade Media),#eab308,Badge prioridade
Cor Semantica,Verde (Prioridade Baixa),#22c55e,Badge prioridade
Gradiente,Hero,"linear-gradient(135deg, #0F1419 0%, #1A1A2E 100%)",Secoes escuras
Gradiente,Primary,"linear-gradient(135deg, #4A9FFF 0%, #6BB5FF 100%)",Botoes badges destaques
Gradiente,Radial Glow,"radial-gradient(circle, rgba(74,159,255,0.15) 0%, transparent 70%)",Efeito glow decorativo
Gradiente,Success,"linear-gradient(135deg, #10b981 0%, #059669 100%)",Estados de sucesso
Transparencia,Glass Light,"rgba(255,255,255,0.8)",Glass morphism claro
Transparencia,Glass Dark,"rgba(26,26,46,0.8)",Glass morphism escuro
Transparencia,Overlay Sutil,"rgba(255,255,255,0.05)",Overlay em dark
Transparencia,Overlay Medio,"rgba(255,255,255,0.10)",Card em dark
Transparencia,Blue Glow,"rgba(74,159,255,0.15)",Glow azul
Transparencia,Selection,"rgba(74,159,255,0.2)",Texto selecionado
# ============================================================
# TIPOGRAFIA
# ============================================================
Fonte,Principal,Manrope,Google Fonts sans-serif
Fonte,Mono,JetBrains Mono,Dados numericos e codigo
Peso,Light,300,Textos secundarios descricoes subtitulos
